Year,Ontario GHG ID,Facility Owner,Facility Name,Facility City,Facility Primary NAICS Code,Carbon dioxide (CO2) from non-biomass in CO2e (t),Carbon dioxide (CO2) from biomass in CO2e (t),Methane (CH4) in CO2e (t),Nitrous oxide (N2O) in CO2e (t),Sulphur hexafluoride (SF6) in CO2e (t),Hydrofluorocarbons (HFCs) in CO2e (t),Perfluorocarbons (PFCs) in CO2e (t),Nitrogen Trifluoride (NF3) in CO2e (t),Total CO2e from all sources in CO2e (t),Reporting Amount in CO2e (t),Verification Amount in CO2e (t),Accredited Verification Body
2013,1104,Ontario Power Generation Inc.,Atikokan Generating Station,Atikokan,221119,3937,0,21.63,31.93,0,0,0,,3991,3991,3991,Ernst & Young LLP
2014,1104,Ontario Power Generation Inc.,Atikokan Generating Station,Atikokan,221119,8924,32454,273,514.6,0,0,0,,42166,9712,9712,Ernst & Young LLP
2015,1104,Ontario Power Generation Inc.,Atikokan Generating Station,Atikokan,221119,16651.21,147333.2,9946.86,20367,0,0,0,0,194299,46965,46965,Ernst & Young LLP
2016,1104,Ontario Power Generation Inc.,Atikokan Generating Station,Atikokan,221119,25584,175108,1197.84,2285.94,0,0,0,0,204176,29068,29068,Ernst & Young LLP
2017,1104,Ontario Power Generation Inc.,Atikokan Generating Station,Atikokan,221119,14564,169313,1159.83,2244.4,0,0,0,0,187282,17969,17969,GHD Limited
2018,1104,Ontario Power Generation Inc.,Atikokan Generating Station,Atikokan,221119,16273,161964,1097.88,2151.4,0,0,0,0,181487,19523,19523,GHD Limited
2010,1079,Integrated Grain Processors Co-operative Incorporated,IGPC Ethanol,Aylmer,325190,62210,104,26,339,0,0,0,,62679,62575,,
2011,1079,Integrated Grain Processors Co-operative Incorporated,IGPC Ethanol,Aylmer,325190,58919,219,46.83,322.462,0,0,0,,59508,59289,59289,Conestoga-Rovers & Associates Limited (CRA)
2012,1079,Integrated Grain Processors Co-operative Incorporated,IGPC Ethanol Inc. - Aylmer Plant,Aylmer,325190,60365,338,53.97,330.398,0,0,0,,61088,60750,60750,Conestoga-Rovers & Associates Limited (CRA)
2013,1079,Integrated Grain Processors Co-operative Incorporated,IGPC Ethanol Inc. - Aylmer Plant,Aylmer,325190,60735,309,52.7415,332.134,0,0,0,,61429,61120,61120,Conestoga-Rovers & Associates Limited (CRA)
2014,1079,Integrated Grain Processors Co-operative Incorporated,IGPC Ethanol Inc. - Aylmer Plant,Aylmer,325190,61145.3242,358.4334,52.4118,334.335,0,0,0,,61891,61532,61532,Conestoga-Rovers & Associates Limited (CRA)
2015,1079,Integrated Grain Processors Co-operative Incorporated,IGPC Ethanol Inc. - Aylmer Plant,Aylmer,325190,66682,398.3,45.3663,363.94,0,0,0,0,67490,67091,67091,GHD Limited (formerly CRA)
2016,1079,Integrated Grain Processors Co-operative Incorporated,IGPC Ethanol Inc. - Aylmer Plant,Aylmer,325190,76966,374.66,38.2284,419.461,0,0,0,0,77799,77424,77424,GHD Limited (formerly CRA)
2017,1079,Integrated Grain Processors Co-operative Incorporated,IGPC Ethanol Inc. - Aylmer Plant,Aylmer,325190,68519.4,362.34,33.6294,373.178,0,0,0,0,69289,68927,68927,Stantec Consulting Ltd.
2018,1079,Integrated Grain Processors Co-operative Incorporated,IGPC Ethanol Inc. - Aylmer Plant,Aylmer,325190,76264,246.7,50.3664,416.206,0,0,0,0,76978,76731,76731,Stantec Consulting Ltd.
2016,1193,Goldcorp Canada Limited - Red Lake Gold Mines,Red Lake Gold Mines,Balmertown,212220,14355.7902,0,5.9221,81.8137,0,0,0,0,14444,14444,14444,GHD Limited (formerly CRA)
2017,1193,Goldcorp Canada Limited - Red Lake Gold Mines,Red Lake Gold Mines,Balmertown,212220,16082.6656,0,6.638,90.9267,0,0,0,0,16181,16181,16181,GHD Limited
2018,1193,Goldcorp Canada Limited - Red Lake Gold Mines,Red Lake Gold Mines,Balmertown,212220,17948.1509,0,7.4485,104.3166,0,0,0,0,18060,18060,18060,
2010,1087,Lafarge Canada Inc.,Bath Cement Plant,Bath,327310,731013,0,0,0,0,0,0,,731013,731013,,
2010,1097,Kingston Cogen Limited Partnership,NPIF Kingston CoGen Corp (formerly AES Kingston ULC),Bath,221112,331997,0,1820,2688,0,0,0,,336505,336505,,
2011,1087,Lafarge Canada Inc.,Bath Cement Plant,Bath,327310,683214,0,652.113,39.68,0,0,0,,683906,683906,683906,Conestoga-Rovers & Associates Limited (CRA)
2011,1097,Kingston CoGen Limited Partnership,Kingston CoGen,Bath,221112,333563,0,1827.189,2696.38,0,0,0,,338087,338087,338087,SAI Global
2012,1087,Lafarge Canada Inc.,Bath Cement Plant,Bath,327310,777109,0,730.191,1590.61,0,0,0,,779430,779430,779430,Conestoga-Rovers & Associates Limited (CRA)
2012,1097,Kingston CoGen Limited Partnership,Kingston CoGen,Bath,221112,317321.93,0,1739.094,2567.42,0,0,0,,321629,321629,321629,SAI Global
2013,1087,Lafarge Canada Inc.,Bath Cement Plant,Bath,327310,625015,0,600.768,1310.99,0,0,0,,626927,626927,626927,Conestoga-Rovers & Associates Limited (CRA)
2013,1097,Kingston CoGen Limited Partnership,Kingston CoGen,Bath,221112,326810.58,0,1790.2244,2643.9522,0,0,0,,331245,331245,331245,SAI Global
2014,1087,Lafarge Canada Inc.,Bath Cement Plant,Bath,327310,653411,0,617.379,1351.6,0,0,0,,655380,655380,655380,Conestoga-Rovers & Associates Limited (CRA)
2014,1097,Kingston CoGen Limited Partnership,Kingston CoGen,Bath,221112,308901.02,0,1692.1176,2498.5079,0,0,0,,313092,313092,313092,SAI Global
2015,1087,Lafarge Canada Inc.,Bath Cement Plant,Bath,327310,810619,0,903.315,1911.46,0,0,0,0,813434,813434,813434,GHD Limited (formerly CRA)
2015,1097,Kingston CoGen Limited Partnership,Kingston CoGen,Bath,221112,314284,0,1721.58,2542,0,0,0,0,318548,318548,318548,SAI Global
2016,1087,Lafarge Canada Inc.,Bath Cement Plant,Bath,327310,786463,0,940.989,1911.15,0,0,0,0,789316,789316,789263,GHD Limited (formerly CRA)
2016,1097,Kingston CoGen Limited Partnership,Kingston CoGen,Bath,221112,295212,0,1617.21,2387,0,0,0,0,299217,299217,299217,SAI Global
2017,1087,Lafarge Canada Inc.,Bath Cement Plant,Bath,327310,749730.295,4451,242.13,856.53,0,0,0,0,755280,750829,750722,RWDI Air Inc.
2017,1097,Kingston CoGen Limited Partnership,Kingston CoGen,Bath,221112,21698.6,0,118.8663,175.4693,0,0,0,0,21993,21993,21993,GHD Limited
2018,1087,Lafarge Canada Inc.,Bath Cement Plant,Bath,327310,773832.31,34.66,69.5856,708.784,0,0,0,0,774646,774611,774611,
2018,1097,Northland Power Inc.,Kingston CoGen,Bath,221112,1178.6579,0,6.4568,9.5316,0,0,0,0,1195,1195,1195,GHD
2016,1386,The Procter & Gamble Company,Belleville,Belleville,339990,14867.2,0,6.09,80.6,0,0,0,0,14954,14954,14954,Stantec Consulting Ltd.
2017,1386,The Procter & Gamble Company,Belleville,Belleville,339990,14933,0,6.1782,81.282,0,0,0,0,15021,15021,15021,Stantec Consulting Ltd.
2018,1386,The Procter & Gamble Company,Belleville,Belleville,339990,16592,0,6.8649,90.334,0,0,0,0,16690,16690,16690,
2015,1231,Platinum Produce Company,Platinum Produce,Blenheim,111419,15354.479,0,6.363,88.66,0,0,0,0,15450,15450,15450,"Ruby Canyon Engineering, Inc."
2016,1231,Platinum Produce Company,Platinum Produce,Blenheim,111419,17452.314,0,7.224,100.75,0,0,0,0,17561,17561,17561,Ruby Canyon Engineering Inc.
2017,1231,Platinum Produce Company,Platinum Produce,Blenheim,111419,18655.285,0,7.728,107.57,0,0,0,0,18771,18771,18771,"Ruby Canyon Engineering, Inc."
2018,1231,Platinum Produce Company,Platinum Produce,Blenheim,111419,25005.237,0,10.353,144.46,0,0,0,0,25161,25161,25161,"Ruby Canyon Engineering, Inc."
2010,1022,Carmeuse Lime (Canada) Limited,Northern,Blind River,327410,90743,0,63,703,0,0,0,,91510,91510,,
2011,1022,Carmeuse Lime Canada,Northern Lime Limited,Blind River,327410,103821.91,0,51.471,1.24,0,0,0,,103875,103875,103875,Stantec Consulting Ltd.
2012,1022,Carmeuse Lime Canada,Northern Lime Limited,Blind River,327410,110671.7713,0,66.449,110.0655,0,0,0,,110849,110849,110849,Stantec Consulting Ltd.
2013,1022,Carmeuse Lime Canada,Northern Lime Limited,Blind River,327410,130177.95,0,75.285,125.55,0,0,0,,130379,130379,130379,Stantec Consulting Ltd.
2014,1022,Carmeuse Lime Canada,Northern Lime Limited,Blind River,327410,130466,0,109.41,2052.2,0,0,0,,132628,132628,132628,Stantec Consulting Ltd.
2015,1022,Carmeuse Lime Canada,Northern Lime Limited,Blind River,327410,123136.307,0,438.396,4313.34,0,0,0,0,127889,127889,127889,Stantec Consulting Ltd.
2016,1022,Carmeuse Lime Canada,Northern Lime Limited,Blind River,327410,130036.24,0,372.7168,126.1328,0,0,0,0,130536,130536,130176,Stantec Consulting Ltd.
2017,1022,Carmeuse Lime Canada,Northern Lime Limited,Blind River,327410,127812.65,0,368.9372,123.6838,0,0,0,0,128306,128306,127952,GHD Consulting
2018,1022,Carmeuse Lime Canada Limited,Northern Lime Limited,Blind River,327410,124470.5523,0,348.3483,115.3386,0,0,0,0,124935,124935,124600,GHD
2018,1409,Cameco Corporation,BLIND RIVER REFINERY,Blind River,325189,11312.084,0,4.5843,60.698,0,0,0,0,11378,11378,11378,
2010,1129,St. Marys Cement Inc.,Bowmanville Plant,Bowmanville,327310,1104370,0,335,996,0,0,0,,1105702,1105702,,
2011,1129,St. Marys Cement Inc.,Bowmanville Cement Plant,Bowmanville,327310,1244789.906,0,340.5549,1159.958,0,0,0,,1246291,1246291,1246291,Conestoga-Rovers & Associates Limited (CRA)
2012,1129,St. Marys Cement Inc.,Bowmanville Cement Plant,Bowmanville,327310,1297048.624,0,355.0806,1357.862,0,0,0,,1298762,1298762,1298762,Conestoga-Rovers & Associates Limited (CRA)
2013,1129,St. Marys Cement Inc.,Bowmanville Cement Plant,Bowmanville,327310,1439307.316,0,351.8422,1431.4197,0,0,0,,1441091,1441091,1441091,Conestoga-Rovers & Associates Limited (CRA)
2014,1129,St. Marys Cement Inc.,Bowmanville Cement Plant,Bowmanville,327310,1332126.727,0,167.2491,1207.9423,0,0,0,,1333502,1333502,1333502,Conestoga-Rovers & Associates Limited (CRA)
2015,1129,St. Marys Cement Inc.,Bowmanville Cement Plant,Bowmanville,327310,1545345.076,0,225.5106,1342.7662,0,0,0,0,1546914,1546914,1546914,GHD Limited (formerly CRA)
2016,1129,St. Marys Cement Inc.,Bowmanville Cement Plant,Bowmanville,327310,1636258.695,0,233.6453,1358.6773,0,0,0,0,1637852,1637852,1637852,GHD Limited (formerly CRA)
2017,1129,St. Marys Cement Inc.,Bowmanville Cement Plant,Bowmanville,327310,1483695.597,422.7744,212.3754,1296.9944,0,0,0,0,1485628,1485205,1485205,Enviro-Acces Inc.
2018,1129,St. Marys Cement Inc. (Canada),Bowmanville Cement Plant,Bowmanville,327310,1514746.417,7142.1888,257.0165,1428.0758,0,0,0,0,1523574,1516432,1516432,Enviro-Acces Inc.
2010,1003,Algonquin Power Energy From Waste Inc.,Algonquin Power  Energy from Waste Inc.,Brampton,562210,40378,44865,555,1113,0,0,0,,86911,42046,,
2010,1011,Brampton Brick,Brampton Brick,Brampton,327120,33703,0,0,0,0,0,0,,33703,33703,,
2010,1025,Chrysler Canada,Brampton Assembly Plant,Brampton,336110,71177,0,29,388,0,0,0,,71594,71594,,
2010,1057,Goreway Station Partnership,Goreway Power Station,Brampton,221112,1209758,0,6625,9781,0,0,0,,1226165,1226165,,
2010,1103,O-I Canada Corp.,Plant #31 Brampton,Brampton,327214,60389,0,208,10540,0,0,0,,71137,71137,,
2011,1003,Algonquin Power Energy From Waste Inc.,Algonquin Power  Energy from Waste Inc.,Brampton,562210,73423.55,79943.44,1041.81,1212.1,0,0,0,,155621,75677,75677,Conestoga-Rovers & Associates Limited (CRA)
2011,1011,Brampton Brick Limited,Brampton Brick,Brampton,327120,52759,0,11.55,151.9,0,0,0,,52923,52923,52923,Stantec Consulting Ltd.
2011,1025,Chrysler Canada Inc.,Brampton Assembly Plant,Brampton,336110,79722,0,32.991,434,0,0,0,,80189,80189,80189,Ernst & Young LLP
2011,1057,Goreway Station Partnership,Goreway Power Station,Brampton,221112,1088685.918,0,5960.829,8802.45,0,0,0,,1103450,1103450,1103450,SAI Global
2011,1092,Maple Lodge Farms Ltd.,Maple Lodge Farms Limited - Brampton,Brampton,311615,27918,0,11.55,151.9,0,0,0,,28082,28082,28082,Ernst & Young LLP
2011,1103,O-I Canada Corp.,Plant #31 Brampton,Brampton,327214,72111.4,0,22.05,291.4,0,0,0,,72425,72425,72425,Conestoga-Rovers & Associates Limited (CRA)
2012,1003,Algonquin Power Energy From Waste Inc.,Algonquin Power  Energy from Waste Inc.,Brampton,562210,76321.94,76914.81,1030.26,1205.9,0,0,0,,155473,78558,78558,Conestoga-Rovers & Associates Limited (CRA)
2012,1011,Brampton Brick Limited,Brampton Brick,Brampton,327120,71948,0,14.91,195.3,0,0,0,,72159,72159,72159,Stantec Consulting Ltd.
2012,1025,Chrysler Canada Inc.,Brampton Assembly Plant,Brampton,336110,70613,0,29.211,384.4,0,0,0,,71027,71027,71027,Ernst & Young LLP
2012,1057,Goreway Station Partnership,Goreway Power Station,Brampton,221112,987365.12,0,5406.66,7983.43,0,0,0,,1000756,1000756,1000756,Conestoga-Rovers & Associates Limited (CRA)
2012,1092,Maple Lodge Farms Ltd.,Maple Lodge Farms Limited - Brampton,Brampton,311615,28934,0,11.97,157.48,0,0,0,,29104,29104,29104,Ernst & Young LLP
2012,1103,O-I Canada Corp.,Plant #31 Brampton,Brampton,327214,63162,0,22.05,89.9,0,0,0,,63274,63274,63274,Conestoga-Rovers & Associates Limited (CRA)
2013,1003,Algonquin Power Energy From Waste Inc.,Algonquin Power  Energy from Waste Inc.,Brampton,562210,79072.92,69420,960.54,1153.2,0,0,0,,150607,81187,81187,Conestoga-Rovers & Associates Limited (CRA)
2013,1011,Brampton Brick Limited,Brampton Brick,Brampton,327120,55930,0,12.18,161.2,0,0,0,,56104,56104,56104,Stantec Consulting Ltd.
2013,1025,Chrysler Canada Inc.,Brampton Assembly Plant,Brampton,336110,70264,0,29.064,382.54,0,0,0,,70676,70676,70676,Ernst & Young LLP
2013,1057,Goreway Station Partnership,Goreway Power Station,Brampton,221112,566238.585,0,3097.185,4576.53,0,0,0,,573913,573913,573913,Conestoga-Rovers & Associates Limited (CRA)
2013,1092,Maple Lodge Farms Ltd.,Maple Lodge Farms Limited - Brampton,Brampton,311615,28909,0,11.97,157.48,0,0,0,,29079,29079,29079,Ernst & Young LLP
2013,1103,O-I Canada Corp.,Plant #31 Brampton,Brampton,327214,65166,0,23.1,297.6,0,0,0,,65487,65487,65487,Conestoga-Rovers & Associates Limited (CRA)
2014,1003,Emerald Energy From Waste Inc.,Emerald Energy from Waste Inc.,Brampton,562210,76465.21,37426.52,644.28,849.4,0,0,0,,115386,77959,77959,Conestoga-Rovers & Associates Limited (CRA)
2014,1011,Brampton Brick Limited,Brampton Brick,Brampton,327120,49532,0,10.92,145.7,0,0,0,,49689,49689,49689,Stantec Consulting Ltd.
2014,1025,FCA Canada Inc.,Brampton Assembly Plant,Brampton,336110,71537,0,29.589,389.36,0,0,0,,71956,71956,71956,Ernst & Young LLP
2014,1057,Goreway Station Partnership,Goreway Power Station,Brampton,221112,400491.039,0,2189.355,3236.4,0,0,0,,405917,405917,405917,Conestoga-Rovers & Associates Limited (CRA)
2014,1092,Maple Lodge Farms Ltd.,Maple Lodge Farms Limited - Brampton,Brampton,311615,29519,0,12.222,160.58,0,0,0,,29692,29692,29692,Ernst & Young LLP
2014,1103,O-I Canada Corp.,Plant #31 Brampton,Brampton,327214,63383,0,23.1,294.5,0,0,0,,63701,63701,63701,Conestoga-Rovers & Associates Limited (CRA)
2015,1003,Emerald Energy From Waste Inc.,Emerald Energy from Waste Inc.,Brampton,562210,79037.15,59834.56,857.64,1063.3,0,0,0,0,140793,80958,80958,GHD Limited (formerly CRA)
2015,1011,Brampton Brick Limited,Brampton Brick,Brampton,327120,60185,0,13.44,176.7,0,0,0,0,60376,60376,60376,Stantec Consulting Ltd.
2015,1025,FCA Canada Inc.,Brampton Assembly Plant,Brampton,336110,73778,0,30.534,401.76,0,0,0,0,74211,74211,74211,RWDI AIR Inc.
2015,1057,Goreway Station Partnership,Goreway Power Station,Brampton,221112,385669.943,0,2108.736,3116.74,0,0,0,0,390896,390896,390896,GHD Limited (formerly CRA)
2015,1092,Maple Lodge Farms Ltd.,Maple Lodge Farms Limited - Brampton,Brampton,311615,30866.8,0,12.7785,168.082,0,0,0,0,31048,31048,31048,Ernst & Young LLP
2015,1103,O-I Canada Corp.,Plant #31 Brampton,Brampton,327214,65049.9,0,22.848,300.7,0,0,0,0,65374,65374,65374,GHD Limited (formerly CRA)
2015,1224,Zochem Inc.,Zochem,Brampton,325189,18613,0,7.77,102.3,0,0,0,0,18724,18724,18724,GHD Limited (formerly CRA)
2015,1247,Matalco Inc.,Matalco Brampton Facility,Brampton,331317,25564.4,0,10.584,139.19,0,0,0,0,25715,25715,25715,GHD Limited (formerly CRA)
2015,1258,William Osler Health System,William Osler Health System - Brampton Civic,Brampton,622111,11741.2036,0,5.1609,87.2275,0,0,0,0,11834,11834,11834,GHD Limited (formerly CRA)
2016,1003,Emerald Energy From Waste Inc.,Emerald Energy from Waste Inc.,Brampton,562210,79967.38,75016.09,1006.53,1205.9,0,0,0,0,157196,82180,82180,GHD Limited (formerly CRA)
2016,1011,Brampton Brick Limited,Brampton Brick Limited,Brampton,327120,68883,0,15.54,204.6,0,0,0,0,69104,69104,69104,Stantec Consulting Ltd.
2016,1025,FCA Canada Inc.,Brampton Assembly Plant,Brampton,336110,73486.91,0,30.45,399.9,0,0,0,0,73918,73918,73918,RWDI AIR Inc.
2016,1057,Goreway Station Partnership,Goreway Power Station,Brampton,221112,234209.342,0,1278.417,1891.62,0,0,0,0,237380,237380,237380,GHD Limited (formerly CRA)
2016,1092,Maple Lodge Farms Ltd.,Maple Lodge Farms,Brampton,311615,30390,0,12.516,164.61,0,0,0,0,30568,30568,30568,Ernst & Young LLP
2016,1103,O-I Canada Corp.,Plant #31 Brampton,Brampton,327214,66041,0,23.247,305.97,0,0,0,0,66371,66371,66371,GHD Limited (formerly CRA)
2016,1224,Zochem Inc.,Zochem,Brampton,325189,17322.22,0,7.14,93,0,0,0,0,17423,17423,17423,GHD Limited (formerly CRA)
2016,1247,Matalco Inc.,Matalco Inc.,Brampton,331317,21520.7,0,8.904,117.18,0,0,0,0,21647,21647,21647,GHD Limited (formerly CRA)
2016,1258,William Osler Health System,Brampton Civic Hospital,Brampton,622111,10376.7407,0,4.2933,59.9007,0,0,0,0,10441,10441,10441,GHD Limited (formerly CRA)
2016,1260,Metex Heat Treating Ltd.,Metex Heat Treating Ltd.,Brampton,332810,10338,0,4.074,53.63,0,0,0,0,10396,10396,10396,GHD Limited (formerly CRA)
2017,1003,Emerald Energy From Waste Inc.,Emerald Energy from Waste Inc.,Brampton,562210,80688,67629.4,992.943,1169.63,0,0,0,0,150480,82851,82851,Stantec
2017,1011,Brampton Brick Limited,Brampton Brick Limited,Brampton,327120,72357,0,16.17,213.9,0,0,0,0,72588,72588,72588,Internat Energy Solutions Canada Inc.
2017,1025,FCA Canada Inc.,Brampton Assembly Plant,Brampton,336110,74418.5,0,30.87,406.1,0,0,0,0,74856,74856,74856,RWDI Inc.
2017,1057,Goreway Station Partnership,Goreway Power Station,Brampton,221112,174828.514,0,954.324,1412.05,0,0,0,0,177195,177195,177195,GDH Limited
2017,1092,Maple Lodge Farms Ltd.,Maple Lodge Farms,Brampton,311615,28799,0,11.907,156.86,0,0,0,0,28968,28968,28968,GHD Limited
2017,1103,O-I Canada Corp.,Plant #31 Brampton,Brampton,327214,73327,0,23.541,309.69,0,0,0,0,73661,73661,73661,ENVIRO-ACCES INC.
2017,1224,Zochem ULC,Zochem,Brampton,325189,16385,0,6.72,89.9,0,0,0,0,16482,16482,16482,GHG Limited
2017,1247,Matalco Inc.,Matalco Inc.,Brampton,331317,24688.29,0,9.933,140.43,0,0,0,0,24839,24839,24839,GHD
2017,1258,William Osler Health System,Brampton Civic Hospital,Brampton,622111,9682.4691,0,4.0547,59.0119,0,0,0,0,9746,9746,9746,GHD
2017,1260,Metex Heat Treating Ltd.,Metex Heat Treating Ltd.,Brampton,332810,10304.38,0,4.1559,54.87,0,0,0,0,10364,10364,10364,Internat Energy Solutions
2018,1057,Goreway Station Partnership,Goreway Power Station,Brampton,221112,369639.997,0,2020.746,2986.85,0,0,0,0,374648,374648,374648,Enviro-Access Inc
2018,1092,Maple Lodge Farms Ltd.,Maple Lodge Farms,Brampton,311615,29067,0,12.012,158.41,0,0,0,0,29238,29238,29238,GHD Limited
2018,1103,O-I Canada Corp.,Plant #31 Brampton,Brampton,327214,73127,0,23.247,305.97,0,0,0,0,73457,73457,73457,Enviro-accès inc.
2018,1003,Emerald Energy From Waste Inc.,Emerald Energy from Waste Inc.,Brampton,562210,81274,58662,925.617,1099.26,0,0,0,0,141961,83299,83299,Internat Energy Solutions Canada Inc.
2018,1011,Brampton Brick Limited,Brampton Brick Limited,Brampton,327120,60416,0,13.65,179.8,0,0,0,0,60610,60610,60610,Internat Energy Solutions Canada Inc.
2018,1025,FCA Canada Inc.,Brampton Assembly Plant,Brampton,336110,72496.98,0,30.03,393.7,0,0,0,0,72921,72921,72921,RWDI
2018,1224,Zochem ULC,Zochem,Brampton,325189,20838.6,0,4.2,55.8,0,0,0,0,20899,20899,20899,
2018,1247,Matalco Inc.,Matalco Inc.,Brampton,331317,24620,0,9.912,139.81,0,0,0,0,24770,24770,24770,GHD
2018,1258,William Osler Health System,Brampton Civic Hospital,Brampton,622111,10891.012,0,4.7229,76.725,0,0,0,0,10973,10973,10973,
2018,1260,Metex Heat Treating Ltd.,Metex Heat Treating Ltd.,Brampton,332810,11749,0,4.6221,60.791,0,0,0,0,11815,11815,11815,
2010,1126,Sonoco Flexible Packaging Canada Corp,Brantford,Brantford,322130,27109,0,11,148,0,0,0,,27268,27268,,
2011,1126,Sonoco Canada Corporation,Sonoco Brantford,Brantford,322130,24594.6,0,10.164,133.92,0,0,0,,24739,24739,24739,SAI Global
2012,1126,Sonoco Canada Corporation,Sonoco Brantford,Brantford,322130,22283,0,9.219,121.21,0,0,0,,22414,22414,22414,SAI Global
2013,1126,Sonoco Canada Corporation,Sonoco Brantford,Brantford,322130,24419,0,10.101,132.99,0,0,0,,24563,24563,24563,SAI Global
2015,1126,Sonoco Canada Corporation,Sonoco Brantford,Brantford,322130,24335,0,10.059,132.37,0,0,0,0,24478,24478,24478,GHD Limited (formerly CRA)
2015,1252,Hartmann Canada Inc.,Hartmann North America,Brantford,322299,15027.46,0,6.2181,81.809,0,0,0,0,15116,15116,15116,RWDI AIR Inc.
2015,1255,Patriot Forge Inc.,Brantford,Brantford,332113,17274.9587,0,7.1475,99.7211,0,0,0,0,17382,17382,17382,GHD Limited (formerly CRA)
2015,1269,Ferrero Canada Limited,Ferrero Canada Limited,Brantford,311351,22054.14,0,9.1248,120.0584,0,0,0,0,22184,22184,22184,GHD Limited (formerly CRA)
2016,1126,Sonoco Canada Corporation,Sonoco Brantford,Brantford,322130,24881.6,0,10.29,135.47,0,0,0,0,25028,25028,25028,GHD Limited (formerly CRA)
2016,1252,Hartmann Canada Inc.,Hartmann North America,Brantford,322299,15458.9,0,6.3966,84.165,0,0,0,0,15550,15550,15550,RWDI AIR Inc.
2016,1255,Patriot Forge Co.,Brantford Facility,Brantford,332113,16094.953,0,6.6588,92.9039,0,0,0,0,16195,16195,16195,GHD Limited (formerly CRA)
2016,1269,Ferrero Canada Limited,Ferrero Canada Limited,Brantford,311351,23169.9812,0,9.5865,126.139,0,0,0,0,23306,23306,23306,GHD Limited (formerly CRA)
2017,1126,Sonoco Canada Corporation,Sonoco Brantford,Brantford,322130,25040,0,10.353,136.4,0,0,0,0,25187,25187,25187,GHD Limited
2017,1252,Hartmann Canada Inc.,Hartmann North America,Brantford,322299,15436.2,0,6.3861,84.041,0,0,0,0,15527,15527,15527,rwdi
2017,1255,Patriot Forge Co.,Brantford Facility,Brantford,332113,22838.9655,0,9.4495,131.8399,0,0,0,0,22981,22981,22981,GHD
